Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in Y axis (pixels)
209,-64.7282943,-1681.239992
210,37.99177988,1112.079462
211,-112.2068225,-2301.809224
212,222.6991858,-950.3749491
213,-261.7830297,1638.670774
214,54.44208486,2298.91172
215,201.3691877,-1870.229551
216,-270.763309,-903.5433492
217,-223.8622604,-536.3833647
218,-426.1391546,486.03606
219,99.61010373,1538.394351
220,6.343891797,-461.155068
221,-33.48575603,137.1779993
222,15.04511511,-541.6235817
223,134.0183534,93.43172893
224,-399.5547592,-1555.122665
225,307.9429124,-452.9097664
226,62.57389931,-960.6772983
227,-400.9131238,-1653.098539
228,56.54185353,2278.500309
229,107.7293889,83.879549
230,-37.41420606,-2134.017387
231,-114.1236179,2219.461966
232,59.0082173,-1666.4566
233,-344.0976858,2152.87248
234,-42.01302531,1691.859373
235,-48.81645548,-2127.272124
236,-254.5397277,2929.431145
237,-101.754852,2996.240147
238,-56.58271133,-2067.735952
239,-302.0152849,-2075.457683
240,86.13013971,-106.7129119
241,49.98325611,938.3767712
242,-358.5173817,799.0285336
243,-282.457944,-1730.352721
244,191.4028012,-719.9316066
245,202.6242648,1778.472308
246,100.676842,-1846.3394
247,-52.82359224,2653.176172
248,-150.0484287,-852.8620138
249,-363.055676,1798.200357
250,-163.8651059,-1314.043579
251,154.6222493,-1004.566005
252,-393.0598631,142.4018213
253,-363.0945563,2029.968371
254,-256.9800268,1839.616445
255,-536.3350355,1546.983147
256,56.04397294,-573.4569171
257,-476.100232,1776.120741
258,-204.415291,-807.0562016
259,150.3195074,-1623.976233
260,-298.7009397,1842.2704
261,-316.7811435,874.8051528
262,49.33622653,-1397.714536
263,72.19178923,995.0394944
264,-72.42271007,-1830.479018
265,-134.5052955,-1504.525932
266,-245.1898785,1339.850546
267,-73.66046595,3066.659906
268,135.2778788,480.2843198
269,58.50694825,1176.509534
270,-54.70715648,439.2287097
271,-441.0365861,1969.155085
272,-211.9164269,-219.2118399
273,-20.33110371,-1163.04245
274,-137.359346,-1331.505103
275,-166.5615607,-125.0799532
276,149.6829452,-2134.270617
277,-103.9441121,-471.7707183
278,-375.8242878,1787.653851
279,74.82563451,-1734.678827
280,-373.1897467,1798.958604
281,-347.5323941,-1551.467098
282,-488.3091774,605.9983182
283,-79.24138138,2228.6579
284,-148.9259475,-2073.2882
285,-44.67267571,-2040.602679
286,-282.0510138,1831.137587
287,22.65631177,-1802.378167
288,-463.0896176,1121.17807
289,-37.79913465,-1845.576378
290,-38.58154668,1601.687306
291,-3.654641479,942.5809704
292,154.0052666,221.373095
293,-133.5185338,-196.6529393
294,-87.49753508,-1515.116789
295,-224.8482459,-1751.278527
296,-187.6196686,-2265.511028
297,-300.5027541,1163.708578
298,-384.4531618,1414.53589
299,-302.2046668,-235.750578
300,57.31437246,56.37643668
301,-263.5446629,1356.35724
302,-279.8470762,-1460.340756
303,-355.058769,77.45692393
304,54.11887287,-1160.805078
305,-400.4663799,413.8612293
306,213.3133969,-1769.938893
307,-45.37264065,346.0809852
308,-255.9205221,283.1232534
309,-417.5385815,487.260916
310,75.07813725,-467.2852716
311,-193.5772827,-22.08198222
312,364.6361577,-505.4414455
313,-101.5697769,46.31180465
314,-293.0095505,-1720.403251
315,98.30858576,1852.837598
316,-490.7055632,1441.778899
317,153.7269672,-357.6363163
318,146.2840224,-1106.358265
319,-167.3693448,18.29934487
320,76.72881286,-1743.628563
321,-273.4312288,1267.958987
322,-366.2957388,1004.124572
323,-133.7893185,-1465.491333
324,107.4268321,-0.661475754
325,-223.3040449,-2008.135076
326,-143.89777,98.23632219
327,-163.7371227,2084.833772
328,-233.8911525,193.2474435
329,-406.7946648,289.7084555
330,-212.9227886,1618.451593
331,353.0935297,-491.4855209
332,124.3655405,839.6572611
333,-155.4621002,-732.1849721
334,-506.6769257,1108.136406
335,-217.2635137,-1642.103105
336,103.6522148,-270.6508496
337,35.96284435,-1864.650063
338,-178.3150117,797.972192
339,-493.0488201,482.6101615
340,-375.4142761,-1553.692749
341,-275.8319073,-117.5289425
342,-91.59269293,2428.67124
343,-471.1023674,485.0546744
344,117.7758953,-819.6452868
345,-146.5476048,225.8873107
346,-214.8322782,-1418.818466
347,-290.3200501,659.9981178
348,9.462458452,-1527.924156
349,177.4856553,-1821.539544
350,-111.4951183,-2019.467592
351,-506.7617264,1014.591654
352,86.79745413,1061.980354
353,372.3569129,-550.9782537
354,-347.5079183,-1618.658523
355,-157.7777664,898.7106157
356,-28.66357415,-1843.510431
357,38.64245807,2038.381829
358,237.2481513,-1427.942934
359,-184.0432922,-730.9722184
360,-165.5523149,1004.051475
361,164.4970439,-1086.448622
362,11.11992401,2096.984163
363,121.1032739,-617.0698903
364,-151.2930268,2193.964374
365,-42.66933902,481.3581688
366,160.3045932,-1773.975478
367,128.3137678,-1393.754791
368,-238.9695704,897.6638851
369,-264.2919536,-2355.430325
370,-28.59910304,-29.73166643
371,-274.6338331,-2068.828714
372,-167.4093514,139.6524427
373,-236.445668,-1960.944541
374,179.3929344,119.9985812
375,-224.9540317,3141.797938
376,-271.2478294,2986.967414
377,-348.9712493,1931.294214
378,6.526396615,371.1577122
379,94.95208276,-176.2296142
380,103.4183258,-2530.654929
381,-42.5268411,-1295.453611
382,111.6649873,108.0714964
383,-65.45777932,-1072.271178
384,-205.0474338,-969.3615648
385,132.9145165,-2124.290015
386,-24.92182734,630.1536156
387,-308.3715326,47.63044119
388,-238.2274563,33.33063871
389,122.9075971,-10.04546331
390,-304.4441138,1682.875401
391,-373.6734423,532.295773
392,-105.7912935,-155.0952402
393,237.1297734,-1305.872459
394,4.135960517,-665.4681667
395,18.41904105,-1099.851273
396,-87.08301356,-131.0499381
397,141.6136862,-1315.753108
398,-26.57806217,-861.9402116
399,-61.34660764,-731.9194582
400,112.8301587,-1662.287788
401,-308.8620696,-1704.21878
402,-342.4882053,1718.952169
403,-160.6784988,-927.2381988
404,-131.8109985,566.978763
405,-240.8474245,-577.2083466
406,-249.0096832,1281.163391
407,-242.5253231,-876.4447444
408,-57.20255238,-373.488308
409,40.75700485,-547.3710755
410,-107.2680902,-2387.555372
411,-343.8020844,1304.356502
412,-148.1737262,-1217.713643
413,-95.25797171,1519.045522
414,67.91788207,653.129175
415,-146.7134186,-2371.895466
416,-7.534111252,98.71901918
417,211.1221625,-218.8062423
418,-299.6476149,-60.10139975
419,-185.7465768,-1805.060279
420,44.65652753,-538.29173
421,57.2655553,1598.750335
422,14.6154677,-1425.47969
423,-278.9069802,2016.191031
424,-231.2324095,414.8331504
425,-278.8704143,-1362.651281
426,182.1837531,-33.55190092
427,-381.4398534,1515.93134
428,-244.9197986,644.9453586
429,-145.3799114,-1340.318192
430,-290.130989,1700.012133
431,156.903033,-1229.760084
432,-268.3767235,-16.63403445
433,-159.788036,-2424.849296
434,-288.4636749,1872.118063
435,38.35038815,1083.757733
436,-385.985888,180.2991992
437,-164.1561874,-1488.784296
438,67.70314474,-928.7619266
439,-191.0751951,-2069.913593
440,-174.9785363,-1499.803035
441,12.42956669,-1146.5637
442,-385.6424262,1683.71271
443,162.5761695,-1268.111527
444,-114.5638435,-1771.781837
445,-212.106352,-492.1348219
446,113.5719667,-1684.807161
447,-304.2597047,153.5958649
448,-398.8747123,1690.590475
449,-311.397072,943.6114188
450,-197.1646707,330.4543737
451,-149.9431659,-1791.517638
452,-513.5803831,1971.078011
453,18.08481774,-819.1478916
454,-406.9151181,1203.825925
455,-322.8044436,1894.120437
456,-28.83187899,-1341.217299
457,216.6054467,-43.4526744
458,-50.93944711,-1806.985823
459,-404.3414652,-1774.106883
460,-65.87309123,2111.019606
461,-172.3418914,1162.927235
462,-186.7847584,1112.143863
463,-161.1287905,-2415.594113
464,-66.85614641,1089.974333
465,292.0577273,-378.5575435
466,-358.9603691,-1684.097073
467,-339.9782143,1867.197254
468,-383.3966472,1140.258548
469,207.8410601,-932.2597007
470,-244.6711499,1360.441107
471,-73.57634621,2801.03816
472,-511.0191582,1841.099595
473,-26.32441676,-317.5720975
474,16.00141509,-2317.707948
475,69.54986611,-559.4640938
476,149.7301561,-1820.164614
477,75.93192964,-2581.373576
478,-367.3611459,-1573.534146
479,160.5823447,-1719.101337
480,9.071774508,609.7862298
481,118.8592699,-594.2234493
482,-363.7815033,1123.039041
483,-176.4510229,-1189.604531
484,-223.4647415,1955.635685
485,251.6578359,-162.9518301
486,-248.8983063,-1822.637524
487,-216.5793163,182.2548057
488,26.72467166,-1445.64172
489,65.2241161,-1552.232973
490,65.64062563,-2617.060484
491,13.07580873,1650.667805
492,-40.56691314,1037.574851
493,-268.9604767,-1863.435115
494,260.5245008,-1178.33345
495,-409.1843439,936.9227055
496,-142.3199214,-134.746681
497,-379.8435806,710.4701484
498,-444.1974036,1143.644661
499,122.6294526,-1554.326325
500,-329.2820746,-2219.442587
501,-271.9115221,2304.633522
502,-107.4666213,-331.5581983
503,-263.0659862,990.0711068
504,48.27893354,-2505.648074
505,-184.665847,-2112.60624
506,-144.2663242,-2338.348264
507,-330.0988797,-2335.575774
508,184.4341234,-305.142447
509,-489.3976903,531.4603745
510,-382.3333062,-1679.75845
511,-481.7152758,1783.151937
512,-157.1619281,1441.807344
513,-165.6329176,-728.6342626
514,-81.52150825,-856.3266844
515,-303.6548894,-1751.445108
516,-495.0604089,1547.377163
517,-195.5349839,-2299.257335
518,-380.3750899,-1626.346335
519,-345.4145891,-1680.144885
520,-93.14833953,1991.543494
521,-239.5501089,1542.092616
522,-117.9660616,1879.944091
523,-220.8641609,333.0305001
524,-194.6605664,-1045.603794
525,259.9406605,-1325.584804
526,174.9001162,180.9913714
527,-121.382346,-847.6378822
528,-441.1272448,607.3807261
529,149.8679989,-1871.950192
530,-172.4337586,1447.394013
531,-180.4993611,-2095.39137
532,-337.86082,-1955.722014
533,30.40537309,1152.782745
534,-377.2912364,1524.637453
535,-3.07994342,-1375.964205
536,-109.886711,-2338.054967
537,-375.2174368,-1540.175875
538,-348.309727,899.3917569
539,-360.8108137,1166.741137
540,292.7287715,-463.9466882
541,-400.8916729,-1580.174018
542,-136.5685788,-1087.961444
543,-245.1198784,-2226.207268
544,-182.083393,-1352.838098
545,-148.0554037,-1565.982509
546,310.0591048,-548.3121557
547,-62.62340688,3124.958882
548,-57.66889115,-719.9648101
549,-241.7983386,-2002.327598
550,-416.7373065,1985.161843
551,-285.7309516,-2498.486349
552,-171.3556157,10.12013486
553,-306.1930652,829.1780651
554,-341.3485639,1343.499669
555,-51.64048269,1518.787224
556,-263.1243823,1585.177559
557,110.5357983,141.2350016
558,-11.33593162,-2050.085656
559,142.4216106,-1675.600431
560,74.96560229,-237.1750604
561,-125.167449,-46.84608776
562,-240.6550316,1294.887813
563,63.55425545,2117.930178
564,-25.08579048,-1995.109232
565,-169.3766758,-927.3685718
566,-50.51450145,177.1613019
567,35.135669,1366.073694
568,-64.58219188,-816.9814457
569,-187.7091553,-2391.157919
570,-75.38875512,335.001774
571,232.201307,-1707.55689
572,-118.2284213,1189.390768
573,-0.079330906,-1950.729167
574,-199.1621313,-1578.079559
575,251.8851729,-1710.834864
576,-170.5657262,560.7325105
577,-52.60235811,-1411.651534
578,53.64534391,-1253.860826
579,84.31627608,2183.466446
580,-294.1313891,52.06757377
581,-192.3765302,-296.1128454
582,-15.18522468,1704.565073
583,66.74321821,78.34053288
584,91.63225553,-2225.702032
585,-182.1519263,857.8639795
586,-180.8811017,1510.313641
587,29.98516545,-1372.633821
588,121.8407419,-59.09896974
589,-221.2562122,1216.785466
590,143.0637057,-1499.928379
591,-157.1868002,-1890.269049
592,88.16603967,-1351.917075
593,-122.6083029,-2212.042566
594,-233.6072616,-225.1434326
595,-127.1878301,359.7654719
596,-263.119149,3088.159853
597,-209.980645,399.102972
598,-205.0832013,162.4179986
599,216.0896601,-1576.516255
600,203.3634755,-1685.457856
601,26.77621488,1844.771293
602,-237.6795342,1413.559403
603,-350.9808756,1343.954241
604,210.5774805,-1615.752159
605,73.78555652,-2323.031775
606,-6.81590958,-1508.907504
607,65.4781453,-578.831766
608,-201.3153161,630.5959172
609,-207.0614149,822.5359227
610,-192.7745978,-1452.095808
611,-303.7883134,-2388.901429
612,-261.1787915,2046.497271
613,-469.9367161,1592.293465
614,-517.51636,882.5225376
615,34.3961611,652.0750304
616,-90.98303155,2038.338426
617,22.14809131,-1072.600811
618,-168.0039141,-1532.188979
619,22.92165526,-1125.482605
620,183.5460645,-1395.061543
621,-370.8985693,1974.497058
622,-169.9887348,-1567.965954
623,-197.9824784,-2106.962915
624,-415.4824953,1672.884787
625,240.6960759,-659.9395635
626,63.94659735,916.1844782
627,46.95811222,-119.2224266
628,-386.6409093,1269.443906
629,-244.3126372,2969.178317
630,-349.4145783,1748.440333
631,-351.3185499,-33.55879534
632,-245.3761377,1570.913158
633,76.50878493,-2906.635551
634,-305.1916298,1182.562437
635,-34.89094149,205.6499332
636,104.2223362,-475.4091317
637,-359.8326832,2121.877235
638,-519.4509122,1443.925443
639,288.1750054,-453.7029161
640,22.74181025,-974.8783375
641,27.39560404,-1754.589406
642,128.687141,458.9163502
643,224.7285435,-1854.738291
644,-5.820086854,2098.916115
645,-17.34551603,-1336.473373
646,356.4596122,-550.47509
647,-38.76665703,-1826.042479
648,-536.1516728,1351.213584
649,93.7352654,302.5345538
650,-175.0427272,1681.825905
651,-351.2481594,585.7590408
652,-164.9760348,-1056.983134
653,-436.8662498,1219.450167
654,-144.5122783,-1190.806205
655,114.1805789,376.4728401
656,-351.244883,1214.334748
657,132.2387048,732.9633369
658,-216.1884653,-1146.842606
659,-232.1518875,281.8132892
660,168.1428787,-501.8321184
661,345.9373884,-494.5314581
662,-90.35289163,1874.243367
663,-34.77370465,-970.2920523
664,-257.648394,-1924.814406
665,-138.1642388,830.0592133
666,-440.3040189,1451.217067
667,-210.0331924,-1583.740377
668,139.0148033,-1823.44732
669,-37.96004367,432.0484476
670,-128.4187613,-101.4593231
671,162.8141603,320.5183807
672,5.334842935,-2036.233793
673,-224.0934971,743.649188
674,-144.609257,-271.5735533
675,-343.0657483,1904.353794
676,-101.6443541,-1736.742796
677,-340.413508,-1754.348242
678,-56.72419681,-1299.420377
679,-399.0193467,1423.413559
680,-86.90430962,458.8659145
681,-175.4702861,-193.6364489
682,-467.3056757,1994.136451
683,-234.4843078,1770.514096
684,36.62627242,-1439.940024
685,-398.8227245,-116.7685401
686,233.5293044,-119.1633528
687,31.76864879,-1343.848028
688,-7.092580631,-1131.867969
689,-76.22149022,-1901.721566
690,-243.432609,-70.1080749
691,-130.0488943,91.7091103
692,207.2134136,-914.6536995
693,-274.906555,167.5805791
694,-504.8333392,809.5589133
695,-119.3599947,3164.181417
696,25.63805557,-151.6542242
697,-501.9593961,913.3821265
698,79.94559086,1597.928953
699,-128.2892779,-1160.148369
700,98.63612346,1878.505887
701,-223.5427356,-2438.511204
702,-311.7161525,87.67674999
703,-142.4004438,1681.819938
704,-199.4102333,1213.743762
705,-24.42664909,248.9234097
706,-112.955679,-94.05044
707,-342.7125278,-1764.582052
708,-114.1210535,1764.478122
709,193.938661,-1095.529824
710,-55.5704536,2972.712484
711,-105.0752562,2077.236112
712,-354.845591,-1668.729638
713,-27.70365535,-843.3386854
714,-218.0518185,1362.349544
715,-200.0471734,-1715.280473
716,189.6228373,-1474.562379
717,-209.4501164,-379.6828198
718,-106.4963206,3052.764682
719,-44.14432922,2133.546356
720,-157.8935017,2523.997746
721,-244.9103125,1648.634166
722,-20.46310072,953.6500631
723,-135.1682446,-1039.614695
724,-473.6279008,385.5776393
725,-0.446264419,2243.182115
726,167.4590405,-974.1243941
727,-35.6019914,-1473.217696
728,204.2088123,-1604.190024
729,-413.3860236,1142.114736
730,-399.4971292,608.0862281
731,-158.7538757,-1410.579008
732,-68.29118327,2949.636404
733,-262.7276072,368.7746652
734,-39.68532575,1385.127908
735,47.12906603,-684.6654623
736,-147.8786343,-191.199358
737,56.54702217,1382.41659
738,59.23516686,-1178.499069
739,98.98978196,-581.5044074
740,150.7835258,584.8147556
741,-45.1369479,200.8041293
742,-33.6290376,-1155.233377
743,-166.0673296,-215.9631166
744,129.8549669,-1726.407703
745,-106.3201986,989.0176793
746,-212.5415283,2205.322156
747,-73.25258884,-1205.435031
748,-153.9021944,2614.069963
749,-105.3332661,87.89081873
750,-291.879812,-2081.989705
751,-295.6004745,-1707.090149
752,-65.6206219,-1180.685432
753,206.8259156,-1924.138201
754,-216.1492819,-466.2199909
755,-47.9041397,-1931.857201
756,-257.2359672,313.4844546
757,-366.2648139,83.77349181
758,59.50845712,1.504872621
759,-259.3290747,-2215.520991
760,-114.0851279,-1241.773599
761,-31.6493815,1729.366501
762,79.73092524,-1501.194125
763,-29.81928885,1873.972198
764,56.46967381,925.4603849
765,-204.4742697,1877.037811
766,-102.2857736,2226.765809
767,-460.5204151,712.1505127
768,128.9119774,-1314.218486
769,-308.3460489,-528.3682621
770,123.9060829,-1684.767998
771,-206.6324851,-427.104566
772,-302.5743081,979.4235566
773,-237.1653011,1093.995328
774,-58.45774148,-274.6875442
775,84.29188869,-471.8811989
776,177.3326905,-1715.000868
777,177.5150314,10.89489987
778,82.31983645,923.3283196
779,-319.3727689,-94.93317032
780,-416.0236016,1107.793337
781,-197.3513701,3080.65233
782,-69.59537343,406.2668329
783,293.0467198,-556.0531072
784,-281.1229591,-1987.814562
785,301.9822896,-427.932347
786,-302.488346,1868.363353
787,-354.2686562,-1693.168617
788,-247.4710754,-1706.905886
789,-287.9894782,-1450.721468
790,-239.3733843,-1551.108291
791,-447.332665,150.619428
792,-36.10335895,1450.905883
793,130.074966,-162.8244637
794,-238.9340617,-1903.568659
795,-384.9000806,1156.024783
796,91.9718601,1915.973849
797,165.3761937,-2972.301822
798,-164.3464385,-2352.512391
799,-525.8353429,1073.355474
800,-368.2839195,672.1397129
801,133.2145054,-284.5118476
802,-226.4777832,-485.4022877
803,200.7653068,1769.227171
804,48.13595464,1289.507125
805,138.1756364,-225.0011004
806,-230.9550758,1246.347202
807,-202.3628306,-990.2239326
808,-35.82612912,1642.552355
809,-175.6412671,-881.3123304
810,252.7975143,-1212.493156
811,127.1602285,-1922.53443
812,-245.3353493,-1539.783734
813,-153.6384811,1.241483606
814,41.2780406,477.5352329
815,-249.5155903,782.0470496
816,-91.52230203,-379.8750594
817,-8.065036766,-877.6252367
818,162.7835422,183.915048
819,-220.2083728,1793.100783
820,-315.3480985,-1727.499066
821,-259.1650078,376.2810618
822,-199.0408769,1608.050876
823,101.8169411,-1729.26504
824,-285.8823819,-108.8926062
825,41.43235576,-2128.469042
826,153.3734493,495.8551295
827,119.5751085,-2500.553439
828,4.616865647,1261.587255
829,-253.5742991,296.8146019
830,-392.53654,-58.16839473
831,-79.64372561,2211.237092
832,-137.1211427,-1757.658246
833,218.1712215,-736.8689744
834,182.6432768,-138.8941805
835,-118.2520928,1546.420244
836,180.0472808,-1405.791252
837,250.2026874,-1468.564075
838,-282.4054492,-950.4234905
839,-165.1015932,1256.218132
840,-95.20035489,-605.2625987
841,-284.234078,1522.709816
842,93.68502992,-1729.726441
843,-188.948741,-1400.487075
844,12.64008574,-1280.496774
845,-527.2327683,1174.491214
846,-113.0985068,-1200.953977
847,-247.7314368,1985.867022
848,-273.6498534,2148.02572
849,-135.6564911,-815.2990109
850,-271.1257133,-2325.362248
851,-55.54450099,-1014.123862
852,202.2758417,-1110.662694
853,132.895042,-1307.146445
854,233.311022,-1514.741281
855,45.63388333,299.0841791
