,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM
zgc:103754,7.55403,10.3009,10.8367,10.819,8.31784,9.16194,8.5171,8.6654,11.0233,9.63873,9.11967,7.07469
WDR74,2.44923,3.25199,3.79364,3.34328,3.31125,2.86973,1.73082,3.5953,3.73988,3.60653,3.47735,2.24482
PPM1E,12.6213,13.6564,29.3591,25.0154,18.9583,12.7691,6.43471,7.86668,12.2557,31.5265,23.1286,12.7717
c21orf59l,4.50337,5.38053,9.72241,6.07901,4.59502,4.47209,6.205,5.29468,8.03419,7.21589,5.65425,3.1833
STYXL1,0.276904,0.0781025,0.0,0.0,0.0511176,0.317149,0.494212,0.0,0.0,0.126516,0.121236,0.22633
zgc:153423,26.3269,12.7078,10.2347,6.31608,11.2336,13.3513,20.0669,14.4426,12.2418,6.78397,7.9887,11.6904
DDX55,2.79045,3.03306,4.10116,4.55269,2.80678,2.38701,3.20536,3.97904,3.99813,4.95295,4.71592,2.74742
ak3,14.2187,14.7112,25.4321,24.1668,22.0474,15.9908,18.0651,20.6768,21.5445,20.4565,20.4539,17.6421
CNTFR,19.6509,22.226,38.5126,26.7318,28.0482,23.8065,13.4871,33.072,37.2077,44.3484,24.7481,21.4275
SMAD2,14.3398,13.2171,11.4314,11.211,13.0303,15.2487,14.5013,14.2719,10.3669,11.8609,13.624,13.7069
per1a,0.953518,7.39059,30.3028,11.3616,1.20765,0.851771,0.545915,6.20506,27.6664,12.4105,3.56364,0.747868
NLE1,2.56047,3.31817,3.37736,5.29153,4.26837,3.20783,3.76987,3.72962,5.65221,4.97012,4.15487,3.52881
trim3b,5.61263,12.6991,23.8034,13.0424,11.7269,12.0832,9.99959,14.3826,21.6118,21.5077,17.1525,11.1847
arr3l,45.7452,50.0745,32.7725,17.3902,21.1748,16.6935,28.1912,38.6972,43.5247,29.7515,24.1213,22.5767
zgc:92901,16.5697,15.7657,12.962,13.1804,18.0926,22.4902,25.0985,19.7057,11.5559,16.7071,21.2045,24.9606
robo3,20.9106,19.7426,16.4449,13.2653,19.0677,22.0251,24.4094,24.4786,18.1635,18.4774,22.023,23.8563
DCLK1,43.8788,39.8657,15.9973,18.5296,22.6701,21.507,33.5012,29.6503,23.1777,23.2333,23.3923,28.6761
zgc:77101,45.3403,54.2638,50.0314,28.4395,33.2995,34.035,47.4145,55.4985,58.9712,39.4745,39.9241,34.4169
zgc:154067,5.29624,10.2274,8.3788,5.271,4.63104,4.10159,4.40661,7.61368,12.0119,4.23592,5.54156,3.96609
CYYR1,18.4642,19.1347,36.1392,42.6007,48.7989,30.584,23.7995,21.1132,23.148,58.1831,54.2336,41.9551
zgc:158388,64.9433,58.4252,61.9907,26.7319,27.5202,27.6584,40.7133,60.0931,58.6162,44.6501,32.6682,28.4566
gnl3,6.47421,9.49362,12.2101,8.1822,7.16348,5.01954,7.27323,6.68272,10.6464,10.3346,7.00806,4.79411
zgc:63634,9.54972,13.002,23.7569,21.1646,17.2288,15.1846,15.1503,18.8666,19.4503,26.8939,22.0216,16.53
REEP6,0.0,0.0,0.133449,0.0727327,0.204253,0.0,0.0,0.0,0.0,0.211804,0.205344,0.0
ptp4a1,294.722,212.991,108.359,57.8787,77.8971,114.782,168.616,207.803,188.757,95.0035,93.7125,69.9102
ptbp1b,15.3986,16.2315,16.7966,20.9799,17.6365,15.9869,16.3202,16.1021,19.7145,19.3951,19.5216,17.3033
MAGI1,20.8636,25.4058,21.6569,11.5301,11.6409,20.0784,18.032,24.0725,26.4953,12.6023,15.332,13.2956
csf1a,0.274533,0.391051,1.10165,1.22375,0.885599,0.901164,0.129739,0.89178,1.80717,1.58054,0.989429,0.528092
NFS1,42.4592,38.4099,25.5132,31.1027,39.3036,33.1003,48.795,38.0226,27.0883,29.5501,33.3604,38.7985
adipor1a,58.0775,59.1945,55.73,33.9076,37.7284,33.9686,48.6479,55.4045,60.0552,47.775,41.5651,40.3969
kdm5ba,23.6516,25.954,30.0909,30.1278,29.5483,29.787,26.4458,27.6821,31.5461,33.5787,32.1826,30.6969
opn1lw2,585.181,514.915,108.336,212.183,684.33,759.927,767.217,675.173,292.001,166.662,490.85,994.366
Gnl3l,8.54721,7.26015,12.3462,9.72706,8.527,6.92186,7.74742,8.33166,10.8706,11.3767,9.16348,7.32884
grma,18.4317,16.071,10.3275,12.3585,17.2066,19.3572,19.9682,14.9426,15.2399,12.5271,18.6848,18.1233
zgc:112296,13.5178,9.49654,5.25957,10.0161,11.1382,14.9364,15.3995,15.4537,7.7294,7.77921,10.203,13.528
zgc:110815,1.46822,2.76394,3.76282,3.73604,3.282,3.56514,2.98364,2.41185,4.14289,4.21711,3.86182,3.16959
zgc:162816,5.85878,4.9323,3.1644,4.03856,4.56736,4.64736,5.8942,3.92485,3.42021,1.91402,4.72973,4.76293
per3,0.726735,1.94454,35.5828,33.0067,8.87833,3.42754,1.83887,3.06989,17.026,40.7692,16.5671,4.75569
zgc:92502,4.17739,6.04181,6.46728,6.90661,7.98456,6.34093,5.235,5.41775,9.23069,7.92955,6.77144,5.01857
ALDH4A1,4.5803,8.68889,21.3685,16.7631,12.7617,6.34814,7.54266,9.30779,14.6981,18.251,13.0369,9.02151
zgc:136520,0.0,0.0,1.82802,3.67014,10.718,6.67952,1.29516,0.920322,0.0,3.99123,5.39711,2.94373
zgc:158340,86.7316,90.3418,52.9715,27.6944,44.3419,49.144,93.6891,125.712,61.7834,40.461,33.8721,43.7224
zgc:158292,13.6341,8.60316,4.30204,1.71476,2.79545,5.35085,9.01226,10.8561,6.77425,2.44788,2.67691,4.42312
zgc:158292,10.2864,5.28144,1.90045,1.46971,2.13677,3.9406,8.74728,9.35816,7.61323,2.17401,2.89073,3.847
Rab43,5.45066,4.83943,11.7485,12.0512,8.35037,6.62734,5.67149,9.11246,7.1747,10.0541,8.03333,6.39914
