RefSeqID,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM,GeneSymbol
NM_001013283,1.17622,1.23591,0.935832,3.19194,0.503111,1.36605,0.696392,0.935876,1.46181,0.213482,0.520449,0.344712,tnfsf10l4
NM_001161484,0.687237,1.45602,2.47018,2.13227,2.04477,2.19129,1.45778,2.31249,2.16162,1.92555,1.67574,1.76028,mtnr1c
NM_001202424,39.1115,31.6652,25.8537,24.2614,26.4756,22.2196,29.9331,25.9242,37.8,25.0246,27.887,26.39,
NM_178299,6.08644,5.99461,0.679662,3.78985,10.5855,16.1579,12.2116,9.68759,1.04826,2.3016,12.1463,16.6542,NPAS2
NM_001080033,132.641,115.098,102.321,85.5838,104.577,99.6123,132.069,134.271,140.124,117.589,130.48,87.4539,zgc:158409
NM_213327,10.8346,18.8235,25.1253,13.8056,13.8287,14.5068,14.6919,13.7196,20.0585,18.8704,13.8433,10.4715,prps1a
NM_001198771,0,0,0,0,0,0,0.181388,0,0,0,0,0,
NM_001013350,2.82016,1.23317,1.53817,2.84163,2.11058,1.56387,0.709461,2.35676,1.7045,1.78312,1.54087,0.895192,Agtr2
NM_001002365,16.2225,15.1624,18.0405,14.1129,13.9283,14.313,15.6135,14.4907,16.8581,15.4774,16.7721,15.2683,zgc:92510
NM_131811,0.0602469,0.785998,0.90829,0.577379,0.318897,0.806136,1.4104,0.726496,1.68479,0.740796,0.508031,1.20296,cx27.5
NM_212826,0,0,0,0,0,0,0,0,0,0,0,0,cx39.9
NM_001100093,0.423148,0.304929,0.193176,1.09537,0.374913,0.469351,0.257311,0.410848,0.292256,0.326583,0.231063,0.287731,si:ch211-278b8.3
NM_001007309,5.59571,6.33859,4.89934,4.2648,5.51977,5.96393,5.31028,4.47992,5.49543,6.64761,3.01764,6.4015,dullard
NM_001013260,113.7,102.924,81.1192,79.037,82.2495,79.3613,88.9686,88.2372,104.348,80.555,74.0527,73.6311,GABARAP
NM_200973,11.2607,10.6719,9.95799,10.0389,10.4801,13.3064,12.4144,11.2058,13.5853,10.4988,11.2383,10.8094,GPS2
NM_131327,16.7705,14.6766,18.2214,15.0547,11.4222,12.3941,12.8444,13.0611,14.6963,9.2886,11.2804,8.42395,tp53
NM_001002300,37.0483,35.126,35.2857,30.5866,34.023,36.5876,27.6337,32.985,37.7935,32.0502,41.2237,38.8712,si:ch211-114c12.2
NM_001128344,1.83415,2.59929,8.64924,4.71161,2.26435,2.29269,0.712751,1.7815,4.26287,2.69755,2.40638,2.14393,LOC565335
NM_001004545,10.6588,6.54314,6.04446,7.00162,7.0297,6.94737,7.39466,7.92494,8.07713,7.89339,7.15381,6.05039,mpdu1a
NM_201135,98.7429,114.904,101.403,82.0431,96.5024,88.9649,105.148,93.1323,104.29,101.173,101.074,87.8304,atp6v1al
NM_001005999,0,0,0,0,0.0976114,0.14471,0,0,0,0.0826356,0,0,ctsll
NM_001122749,25.822,22.7455,22.6649,19.2985,20.0859,21.9337,24.4987,20.325,27.582,22.7915,25.5193,22.0906,Dgcr8
NM_001122747,5.96908,5.51445,4.88975,4.50089,5.31701,4.59743,6.07933,5.96771,5.49051,4.35197,4.69821,5.80448,si:ch211-106a19.2
NM_001008576,0,0,0,0,0,0,0,0,0.6454,0,0,0,TFAP2C
NM_212630,8.92018,2.85076,0.172451,1.5177,5.77545,5.41969,2.00748,3.6212,10.0261,3.18999,2.75483,9.04497,ewsr1b
NM_001128359,7.01791,5.18386,6.72777,5.15115,4.75557,5.42226,6.30438,5.17541,6.568,7.69261,5.90535,4.68246,rhbdd3
